Topic,Property,More Resources/Practice,Parent item,Practice,Progress,Resources,Sub-item
04-GUIs-with-swing.md,No,screencapture-q-utoronto-ca-courses-394773-quizzes-479224-history-2025-12-13-17_23_49.pdf,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/04-GUIs-with-swing.md

https://docs.oracle.com/javase/tutorial/uiswing/

https://docs.oracle.com/javase/tutorial/uiswing/components/list.html",
Java games 3,No,JavaMemoryModelExamples.pdf,RAT (RAT%20281e7be659d98064b3b1fac7f660de4d.csv),https://q.utoronto.ca/courses/394773/pages/m1-java-games-part-3,New,,
Parts of a Program,No,RestaurantReviewSpecification_(1).pdf,RAT (RAT%20281e7be659d98064b3b1fac7f660de4d.csv),https://q.utoronto.ca/courses/394773/pages/m1-parts-of-a-program (+ https://github.com/CSC207-2025F-UofT/Trader),New,,
OOP Explorations Part 1,No,JCF-overview.pdf,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),https://q.utoronto.ca/courses/394773/pages/m1-oop-explorations-part-1,New,,
09-design-principles.md,No,"SRP.pdf, OCP.pdf, LSP.pdf, ISP.pdf, DIP.pdf, screencapture-q-utoronto-ca-courses-394773-quizzes-481354-history-2025-12-13-18_10_05.pdf, screencapture-q-utoronto-ca-courses-394773-quizzes-481343-history-2025-12-13-18_13_01.pdf",Module 2 -- Oct 1-14 -- Design Principles (Module%202%20--%20Oct%201-14%20--%20Design%20Principles%2026be7be659d980fea17ce010271854ea.csv),,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/09-design-principles.md

https://blog.cleancoder.com/uncle-bob/2020/10/18/Solid-Relevance.html

https://blog.cleancoder.com/uncle-bob/2014/05/08/SingleReponsibilityPrinciple.html

https://blog.cleancoder.com/uncle-bob/2014/05/12/TheOpenClosedPrinciple.html

https://blog.cleancoder.com/uncle-bob/2013/03/08/AnOpenAndClosedCase.html","Your Project and SOLID: stakeholders, actors, user (Your%20Project%20and%20SOLID%20stakeholders,%20actors,%20user%202c8e7be659d9808787c6c66cac925f34.csv)"
UML Diagrams,No,uml-class-diagrams.pdf,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),,New,,
OOP Explorations 2,No,ShapeCalculatorExample.pdf,Module 2 -- Oct 1-14 -- Design Principles (Module%202%20--%20Oct%201-14%20--%20Design%20Principles%2026be7be659d980fea17ce010271854ea.csv),https://q.utoronto.ca/courses/394773/pages/m2-oop-explorations-part-2,New,https://github.com/jcal13/area-calculator,
00-introduction-to-git.md,No,screencapture-q-utoronto-ca-courses-394773-quizzes-475878-history-2025-12-13-16_42_52.pdf,Module 0 (not for marks) -- Sept 2-16 -- Java Fundamentals and Version Control (Module%200%20(not%20for%20marks)%20--%20Sept%202-16%20--%20Java%20Fund%2026be7be659d980a1ac65c67180e81c76.csv),https://learngitbranching.js.org/ | https://github.com/christinecheng1229/lab2-branching-and-merging | https://github.com/altcait/lab2-multiset-adt,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/00-introduction-to-git.md

https://docs.github.com/en/issues/tracking-your-work-with-issues/using-issues/creating-an-issue

https://www.atlassian.com/git/tutorials/using-branches

https://youtu.be/d3N2yeAaLkc?si=FAfhoU5UZ_OxMbSg",
RAT,No,iRAT.pdf,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),https://q.utoronto.ca/courses/394773/quizzes/479131,New,,"Java games 3 (Java%20games%203%20272e7be659d980aa9620e49acd01f9ab.csv), Parts of a Program (Parts%20of%20a%20Program%20279e7be659d980ebb63af83b39bea83f.csv)"
Exceptions,No,Exceptions.pdf,Module 2 -- Oct 1-14 -- Design Principles (Module%202%20--%20Oct%201-14%20--%20Design%20Principles%2026be7be659d980fea17ce010271854ea.csv),https://q.utoronto.ca/courses/394773/pages/m2-exceptions,New,https://github.com/CSC207-2025F-UofT/exception-examples,
